id,grade,difficulty,question,option1,option2,option3,option4,answer
250,5,easy,4 × 9 = ?,43,36,35,38,36
251,1,easy,7 × 5 = ?,45,35,25,43,35
252,5,hard,13 ÷ 13 = ?,-4,-5,1,4,1
253,5,hard,92 + 57 = ?,156,145,152,149,149
254,3,hard,87 + 78 = ?,160,158,170,165,165
255,1,hard,12 + 62 = ?,77,73,74,69,74
256,3,hard,78 - 84 = ?,-12,-6,-10,-13,-6
257,4,medium,21 + 48 = ?,77,71,69,65,69
258,1,easy,6 ÷ 1 = ?,13,1,6,-2,6
259,1,medium,30 + 36 = ?,73,66,56,61,66
260,2,medium,43 + 36 = ?,87,76,70,79,79
261,3,medium,48 + 47 = ?,95,92,99,98,95
262,3,medium,42 ÷ 7 = ?,6,10,4,-3,6
263,4,medium,102 ÷ 17 = ?,5,6,-4,2,6
264,4,hard,36 ÷ 12 = ?,1,-2,10,3,3
265,4,easy,2 + 7 = ?,9,3,14,17,9
266,2,hard,66 - 21 = ?,45,42,47,55,45
267,2,medium,49 + 42 = ?,91,81,101,83,91
268,2,hard,44 - 7 = ?,46,44,37,28,37
269,3,hard,104 ÷ 13 = ?,16,8,-1,10,8
270,4,easy,10 + 7 = ?,11,17,15,23,17
271,3,hard,70 ÷ 14 = ?,7,5,2,-3,5
272,4,easy,72 ÷ 9 = ?,17,12,8,15,8
273,4,medium,60 ÷ 12 = ?,0,2,5,7,5
274,1,easy,5 + 3 = ?,-2,18,7,8,8
275,2,hard,140 ÷ 14 = ?,17,10,3,5,10
276,4,medium,24 + 19 = ?,43,39,53,40,43
277,2,easy,9 - 1 = ?,17,8,-2,4,8
278,1,easy,8 × 7 = ?,49,65,64,56,56
279,5,medium,2 ÷ 2 = ?,1,-3,11,2,1
280,5,easy,9 + 3 = ?,12,22,20,7,12
281,5,hard,100 × 87 = ?,8710,8702,8700,8706,8700
282,4,hard,51 + 42 = ?,95,92,100,93,93
283,1,hard,29 + 76 = ?,107,108,105,103,105
284,2,medium,52 ÷ 13 = ?,1,8,14,4,4
285,2,easy,9 + 5 = ?,9,14,5,10,14
286,4,hard,88 + 35 = ?,121,118,119,123,123
287,5,hard,80 ÷ 8 = ?,11,12,2,10,10
288,5,hard,28 × 4 = ?,111,112,113,103,112
289,4,medium,6 ÷ 1 = ?,9,6,-3,5,6
290,5,easy,4 ÷ 1 = ?,-6,1,4,-5,4
291,1,hard,34 × 74 = ?,2510,2526,2522,2516,2516
292,2,hard,42 ÷ 14 = ?,-6,-4,3,-3,3
293,1,easy,7 × 7 = ?,39,43,49,54,49
294,4,medium,50 - 37 = ?,13,11,14,16,13
295,3,medium,5 + 12 = ?,7,17,22,19,17
296,2,medium,5 × 5 = ?,24,25,35,33,25
297,1,easy,3 × 2 = ?,6,-2,2,-4,6
298,3,hard,30 - 2 = ?,33,22,28,20,28
299,4,easy,8 ÷ 1 = ?,13,16,8,1,8
300,3,hard,36 ÷ 12 = ?,3,4,9,12,3
301,3,hard,16 - 19 = ?,1,-7,-3,-8,-3
302,3,easy,4 + 10 = ?,16,14,9,8,14
303,4,hard,83 × 97 = ?,8051,8046,8058,8043,8051
304,1,hard,6 ÷ 1 = ?,6,7,14,3,6
305,2,hard,24 - 46 = ?,-22,-21,-26,-27,-22
306,3,hard,63 × 86 = ?,5408,5418,5412,5414,5418
307,3,easy,4 + 8 = ?,21,12,5,3,12
308,3,medium,31 - 36 = ?,4,-5,2,-4,-5
309,2,easy,4 + 1 = ?,11,14,12,5,5
310,3,easy,70 ÷ 10 = ?,12,7,3,8,7
311,5,easy,3 × 10 = ?,30,35,31,39,30
312,5,hard,78 ÷ 13 = ?,12,0,6,15,6
313,4,easy,24 ÷ 6 = ?,-6,6,7,4,4
314,2,easy,16 ÷ 4 = ?,1,0,-4,4,4
315,4,easy,6 + 10 = ?,16,11,6,24,16
316,2,easy,21 ÷ 7 = ?,2,-1,-7,3,3
317,5,hard,55 × 69 = ?,3787,3800,3795,3798,3795
318,5,easy,3 - 9 = ?,-6,-7,-16,0,-6
319,5,easy,1 + 9 = ?,10,4,20,6,10
320,3,hard,51 ÷ 17 = ?,3,2,4,8,3
321,2,easy,2 + 10 = ?,12,6,2,18,12
322,1,medium,24 ÷ 8 = ?,3,9,12,-1,3
323,2,hard,160 ÷ 16 = ?,8,10,15,11,10
324,4,medium,72 ÷ 12 = ?,6,-3,8,-4,6
325,5,medium,14 - 16 = ?,-5,-2,6,8,-2
326,1,easy,54 ÷ 9 = ?,12,8,6,10,6
327,5,medium,16 ÷ 8 = ?,6,2,8,4,2
328,5,medium,47 - 24 = ?,13,23,33,21,23
329,5,hard,12 ÷ 12 = ?,10,7,1,3,1
330,1,hard,35 + 65 = ?,90,101,100,106,100
331,5,medium,7 × 29 = ?,207,211,203,206,203
332,3,hard,15 + 14 = ?,25,33,29,32,29
333,2,hard,95 - 77 = ?,16,17,21,18,18
334,3,hard,54 ÷ 18 = ?,3,0,2,7,3
335,3,medium,19 ÷ 19 = ?,-5,6,1,4,1
336,3,easy,10 × 9 = ?,89,93,82,90,90
337,5,easy,6 - 1 = ?,9,5,4,14,5
338,3,medium,37 × 10 = ?,365,370,375,374,370
339,1,medium,117 ÷ 13 = ?,10,1,13,9,9
340,5,easy,27 ÷ 3 = ?,9,6,15,4,9
341,4,easy,6 × 6 = ?,36,31,32,29,36
342,4,easy,32 ÷ 8 = ?,4,13,-2,10,4
343,4,hard,41 - 69 = ?,-18,-22,-36,-28,-28
344,1,easy,14 ÷ 7 = ?,12,-7,0,2,2
345,2,medium,14 + 34 = ?,51,57,55,48,48
346,1,hard,29 + 31 = ?,51,65,62,60,60
347,5,easy,24 ÷ 3 = ?,8,17,11,0,8
348,1,medium,41 - 50 = ?,-9,-13,-12,1,-9
349,1,easy,7 + 2 = ?,6,13,4,9,9
350,4,hard,66 × 36 = ?,2378,2376,2381,2368,2376
351,2,easy,12 ÷ 2 = ?,2,11,6,-1,6
352,2,easy,5 + 4 = ?,16,9,15,14,9
353,1,hard,46 + 64 = ?,119,100,107,110,110
354,5,medium,14 × 46 = ?,646,644,637,639,644
355,5,medium,48 + 16 = ?,67,55,65,64,64
356,3,medium,45 + 46 = ?,91,94,81,87,91
357,2,hard,51 ÷ 17 = ?,12,-3,-7,3,3
358,1,medium,8 - 32 = ?,-23,-31,-24,-21,-24
359,5,medium,10 × 20 = ?,200,199,196,207,200
360,2,medium,18 × 27 = ?,490,492,486,495,486
361,4,easy,9 + 3 = ?,22,12,7,10,12
362,2,hard,29 + 13 = ?,42,36,33,41,42
363,1,hard,27 × 11 = ?,303,298,297,296,297
364,5,medium,108 ÷ 12 = ?,9,15,14,6,9
365,3,hard,18 - 80 = ?,-71,-66,-62,-68,-62
366,4,easy,3 × 1 = ?,5,3,9,7,3
367,3,easy,7 + 2 = ?,9,13,8,14,9
368,5,hard,71 × 46 = ?,3264,3266,3273,3272,3266
369,1,medium,19 × 45 = ?,855,859,849,857,855
370,4,easy,6 × 1 = ?,16,6,4,12,6
371,5,medium,5 + 43 = ?,56,48,42,50,48
372,3,medium,60 ÷ 20 = ?,3,6,-2,1,3
373,2,hard,21 - 80 = ?,-56,-59,-54,-63,-59
374,4,medium,34 × 50 = ?,1700,1706,1696,1693,1700
375,2,medium,37 + 29 = ?,69,66,60,58,66
376,5,easy,1 + 5 = ?,14,11,6,4,6
377,1,medium,6 × 24 = ?,142,144,137,136,144
378,1,medium,13 × 20 = ?,257,260,264,265,260
379,4,easy,2 × 7 = ?,4,15,14,5,14
380,2,hard,89 - 7 = ?,82,90,80,78,82
381,2,hard,59 - 17 = ?,43,42,33,36,42
382,5,medium,72 ÷ 18 = ?,6,4,-3,12,4
383,3,hard,80 - 55 = ?,25,17,29,22,25
384,2,hard,20 ÷ 5 = ?,4,-3,10,0,4
385,5,easy,5 - 4 = ?,10,1,-8,11,1
386,2,easy,2 + 6 = ?,5,2,1,8,8
387,1,easy,2 × 5 = ?,1,10,15,0,10
388,1,medium,29 × 31 = ?,899,897,890,893,899
389,1,medium,11 + 26 = ?,36,40,27,37,37
390,2,easy,6 ÷ 1 = ?,5,3,6,-3,6
391,1,hard,54 - 10 = ?,40,34,44,38,44
392,3,easy,7 - 10 = ?,-12,-4,-3,-7,-3
393,2,easy,10 × 3 = ?,29,30,40,21,30
394,3,medium,102 ÷ 17 = ?,7,-2,6,1,6
395,3,hard,54 + 86 = ?,150,143,140,149,140
396,4,medium,22 × 40 = ?,871,880,876,872,880
397,1,medium,144 ÷ 16 = ?,9,8,17,1,9
398,5,easy,8 × 1 = ?,8,12,16,7,8
399,2,medium,32 - 27 = ?,-5,14,7,5,5
400,2,easy,12 ÷ 6 = ?,10,2,3,12,2
401,4,easy,1 - 7 = ?,-11,4,-4,-6,-6
402,1,medium,36 + 34 = ?,64,70,60,73,70
403,5,easy,10 × 4 = ?,40,39,32,44,40
404,4,easy,5 × 10 = ?,41,50,53,49,50
405,3,easy,7 × 2 = ?,17,19,10,14,14
406,4,medium,28 + 6 = ?,26,36,42,34,34
407,3,easy,10 + 6 = ?,6,16,25,14,16
408,1,hard,90 ÷ 15 = ?,10,0,6,2,6
409,4,easy,8 + 1 = ?,6,5,4,9,9
410,3,hard,15 + 47 = ?,53,52,62,70,62
411,2,medium,60 ÷ 10 = ?,10,-4,0,6,6
412,1,easy,1 × 3 = ?,8,10,3,4,3
413,1,hard,66 × 28 = ?,1841,1848,1858,1856,1848
414,4,hard,77 × 88 = ?,6782,6772,6776,6767,6776
415,5,hard,60 × 50 = ?,3004,3002,3000,2994,3000
416,2,hard,43 + 35 = ?,78,72,68,87,78
417,5,easy,80 ÷ 10 = ?,13,6,8,1,8
418,1,medium,10 × 11 = ?,115,111,102,110,110
419,4,medium,6 + 38 = ?,46,42,35,44,44
420,1,easy,8 × 5 = ?,35,40,48,31,40
421,2,hard,17 × 69 = ?,1171,1183,1173,1167,1173
422,5,medium,31 + 40 = ?,71,67,80,81,71
423,1,medium,16 ÷ 4 = ?,-2,6,4,9,4
424,2,medium,32 - 42 = ?,-7,-12,-18,-10,-10
425,3,easy,4 - 3 = ?,1,-7,6,9,1
426,4,hard,48 - 31 = ?,20,11,21,17,17
427,1,easy,6 + 6 = ?,9,14,13,12,12
428,2,medium,10 + 43 = ?,53,57,46,55,53
429,4,hard,13 + 57 = ?,76,70,60,64,70
430,3,hard,49 + 74 = ?,114,129,119,123,123
431,5,medium,36 ÷ 18 = ?,10,2,6,9,2
432,4,medium,14 × 12 = ?,158,176,168,161,168
433,5,medium,30 ÷ 6 = ?,14,2,5,-3,5
434,1,medium,40 × 28 = ?,1126,1114,1120,1113,1120
435,2,medium,24 + 28 = ?,52,44,42,49,52
436,5,hard,77 ÷ 11 = ?,-2,13,7,8,7
437,3,hard,65 + 61 = ?,122,118,121,126,126
438,3,hard,37 + 13 = ?,46,60,50,54,50
439,3,medium,162 ÷ 18 = ?,9,18,3,1,9
440,2,hard,53 - 98 = ?,-45,-47,-53,-40,-45
441,3,hard,63 × 74 = ?,4662,4657,4661,4672,4662
442,2,hard,75 + 50 = ?,129,125,128,118,125
443,4,hard,81 × 55 = ?,4460,4455,4458,4461,4455
444,1,medium,43 + 42 = ?,85,75,93,82,85
445,1,medium,15 ÷ 15 = ?,8,1,3,2,1
446,4,hard,55 - 79 = ?,-28,-31,-24,-20,-24
447,3,easy,1 × 2 = ?,-5,2,-3,-1,2
448,1,medium,90 ÷ 10 = ?,14,5,12,9,9
449,5,easy,8 ÷ 2 = ?,-5,2,4,14,4
450,3,easy,27 ÷ 9 = ?,12,10,3,11,3
451,1,medium,14 - 18 = ?,-1,-4,-13,-2,-4
452,4,hard,45 ÷ 5 = ?,10,9,16,11,9
453,4,easy,8 ÷ 2 = ?,4,2,12,6,4
454,3,easy,10 + 6 = ?,7,23,16,11,16
455,3,medium,25 - 15 = ?,10,0,16,7,10
456,1,medium,29 + 48 = ?,80,74,84,77,77
457,3,hard,27 - 83 = ?,-60,-54,-56,-48,-56
458,4,easy,30 ÷ 3 = ?,10,1,19,8,10
459,5,easy,2 + 1 = ?,1,8,3,-4,3
460,2,hard,49 ÷ 7 = ?,6,7,10,16,7
461,2,easy,1 × 3 = ?,2,-3,3,9,3
462,1,medium,35 × 29 = ?,1015,1017,1007,1010,1015
463,1,medium,17 + 49 = ?,67,75,60,66,66
464,2,medium,22 - 5 = ?,21,17,27,18,17
465,2,hard,7 ÷ 7 = ?,1,6,-6,11,1
466,2,hard,88 × 56 = ?,4921,4928,4920,4918,4928
467,3,hard,52 × 64 = ?,3331,3328,3323,3333,3328
468,2,easy,6 - 2 = ?,4,2,1,9,4
469,4,hard,42 ÷ 6 = ?,10,7,0,-2,7
470,5,hard,65 × 35 = ?,2284,2273,2275,2266,2275
471,2,hard,54 × 57 = ?,3088,3072,3078,3074,3078
472,1,hard,14 + 77 = ?,94,89,91,97,91
473,2,hard,89 × 49 = ?,4361,4354,4362,4365,4361
474,3,hard,56 × 2 = ?,110,112,122,106,112
475,5,hard,82 + 46 = ?,118,124,132,128,128
476,2,medium,42 + 22 = ?,61,71,64,55,64
477,5,easy,5 - 4 = ?,9,0,2,1,1
478,5,hard,35 - 54 = ?,-23,-28,-19,-17,-19
479,2,medium,23 × 23 = ?,535,526,522,529,529
480,3,easy,40 ÷ 4 = ?,13,16,19,10,10
481,1,medium,45 - 33 = ?,4,7,12,5,12
482,3,easy,2 ÷ 1 = ?,2,3,5,-5,2
483,1,medium,13 × 23 = ?,299,294,297,289,299
484,1,medium,4 ÷ 4 = ?,8,0,1,-8,1
485,1,hard,24 × 90 = ?,2160,2165,2163,2170,2160
486,1,medium,41 + 47 = ?,88,90,91,94,88
487,2,hard,46 + 20 = ?,75,59,66,71,66
488,4,easy,2 - 10 = ?,-8,-2,-18,-15,-8
489,5,hard,70 ÷ 10 = ?,11,10,2,7,7
490,2,easy,4 ÷ 4 = ?,-3,1,-6,6,1
491,2,easy,4 + 2 = ?,13,7,1,6,6
492,5,easy,8 - 8 = ?,-1,0,8,-10,0
493,3,medium,6 + 24 = ?,38,27,36,30,30
494,4,easy,14 ÷ 2 = ?,-1,7,17,14,7
495,1,hard,86 × 56 = ?,4817,4823,4825,4816,4816
496,2,hard,55 + 31 = ?,90,77,86,80,86
497,5,hard,39 + 36 = ?,81,75,80,67,75
498,1,hard,56 ÷ 7 = ?,-1,8,3,0,8
499,2,medium,7 ÷ 7 = ?,3,8,10,1,1
500,1,medium,47 × 19 = ?,893,903,895,900,893
